iteration,target_revision,start_wall_epoch,start_wall_utc,start_wall_local,end_wall_epoch,end_wall_utc,end_wall_local,deploy_started_epoch,deploy_started_utc,deploy_started_local,deploy_finished_epoch,deploy_finished_utc,deploy_finished_local,repo_sync_s,manifest_apply_s,resource_creation_s,deployment_total_s,rollout_total_s,pod_rollout_s,status,note
51,v0.15.2,1760787152.418,2025-10-18T11:32:32.417Z,2025-10-18T11:32:32.417+00:00,1760787173.132,2025-10-18T11:32:53.131Z,2025-10-18T11:32:53.131+00:00,1760787152.000,2025-10-18T11:32:32.000Z,2025-10-18T11:32:32.000+00:00,1760787155.000,2025-10-18T11:32:35.000Z,2025-10-18T11:32:35.000+00:00,5.978,0.168,14.847,3.000,20.714,17.714,ok,
52,v0.15.1,1760787174.564,2025-10-18T11:32:54.564Z,2025-10-18T11:32:54.564+00:00,1760787196.834,2025-10-18T11:33:16.834Z,2025-10-18T11:33:16.834+00:00,1760787174.000,2025-10-18T11:32:54.000Z,2025-10-18T11:32:54.000+00:00,1760787177.000,2025-10-18T11:32:57.000Z,2025-10-18T11:32:57.000+00:00,6.420,0.196,16.119,3.000,22.270,19.270,ok,
53,v0.15.2,1760787198.099,2025-10-18T11:33:18.099Z,2025-10-18T11:33:18.099+00:00,1760787219.764,2025-10-18T11:33:39.763Z,2025-10-18T11:33:39.763+00:00,1760787198.000,2025-10-18T11:33:18.000Z,2025-10-18T11:33:18.000+00:00,1760787201.000,2025-10-18T11:33:21.000Z,2025-10-18T11:33:21.000+00:00,4.864,0.113,16.644,3.000,21.664,18.664,ok,
54,v0.15.1,1760787221.157,2025-10-18T11:33:41.156Z,2025-10-18T11:33:41.156+00:00,1760787242.252,2025-10-18T11:34:02.251Z,2025-10-18T11:34:02.251+00:00,1760787221.000,2025-10-18T11:33:41.000Z,2025-10-18T11:33:41.000+00:00,1760787223.000,2025-10-18T11:33:43.000Z,2025-10-18T11:33:43.000+00:00,5.813,0.126,15.209,2.000,21.095,19.095,ok,
55,v0.15.2,1760787243.613,2025-10-18T11:34:03.613Z,2025-10-18T11:34:03.613+00:00,1760787265.073,2025-10-18T11:34:25.072Z,2025-10-18T11:34:25.072+00:00,1760787243.000,2025-10-18T11:34:03.000Z,2025-10-18T11:34:03.000+00:00,1760787246.000,2025-10-18T11:34:06.000Z,2025-10-18T11:34:06.000+00:00,5.537,0.194,16.191,3.000,21.459,18.459,ok,
56,v0.15.1,1760787266.464,2025-10-18T11:34:26.463Z,2025-10-18T11:34:26.463+00:00,1760787287.439,2025-10-18T11:34:47.438Z,2025-10-18T11:34:47.438+00:00,1760787266.000,2025-10-18T11:34:26.000Z,2025-10-18T11:34:26.000+00:00,1760787269.000,2025-10-18T11:34:29.000Z,2025-10-18T11:34:29.000+00:00,5.742,0.082,15.538,3.000,20.975,17.975,ok,
57,v0.15.2,1760787288.843,2025-10-18T11:34:48.843Z,2025-10-18T11:34:48.843+00:00,1760787309.872,2025-10-18T11:35:09.871Z,2025-10-18T11:35:09.871+00:00,1760787288.000,2025-10-18T11:34:48.000Z,2025-10-18T11:34:48.000+00:00,1760787291.000,2025-10-18T11:34:51.000Z,2025-10-18T11:34:51.000+00:00,5.104,0.122,16.485,3.000,21.028,18.028,ok,
58,v0.15.1,1760787311.190,2025-10-18T11:35:11.190Z,2025-10-18T11:35:11.190+00:00,1760787332.531,2025-10-18T11:35:32.531Z,2025-10-18T11:35:32.531+00:00,1760787311.000,2025-10-18T11:35:11.000Z,2025-10-18T11:35:11.000+00:00,1760787313.000,2025-10-18T11:35:13.000Z,2025-10-18T11:35:13.000+00:00,4.552,0.126,16.651,2.000,21.341,19.341,ok,
59,v0.15.2,1760787333.874,2025-10-18T11:35:33.873Z,2025-10-18T11:35:33.873+00:00,1760787355.971,2025-10-18T11:35:55.971Z,2025-10-18T11:35:55.971+00:00,1760787334.000,2025-10-18T11:35:34.000Z,2025-10-18T11:35:34.000+00:00,1760787338.000,2025-10-18T11:35:38.000Z,2025-10-18T11:35:38.000+00:00,6.749,0.109,14.958,4.000,22.098,18.098,ok,
60,v0.15.1,1760787357.438,2025-10-18T11:35:57.438Z,2025-10-18T11:35:57.438+00:00,1760787378.435,2025-10-18T11:36:18.435Z,2025-10-18T11:36:18.435+00:00,1760787357.000,2025-10-18T11:35:57.000Z,2025-10-18T11:35:57.000+00:00,1760787359.000,2025-10-18T11:35:59.000Z,2025-10-18T11:35:59.000+00:00,4.599,0.146,16.542,2.000,20.997,18.997,ok,
61,v0.15.2,1760787379.987,2025-10-18T11:36:19.986Z,2025-10-18T11:36:19.986+00:00,1760787400.366,2025-10-18T11:36:40.365Z,2025-10-18T11:36:40.365+00:00,1760787380.000,2025-10-18T11:36:20.000Z,2025-10-18T11:36:20.000+00:00,1760787382.000,2025-10-18T11:36:22.000Z,2025-10-18T11:36:22.000+00:00,4.558,0.176,15.464,2.000,20.379,18.379,ok,
62,v0.15.1,1760787401.794,2025-10-18T11:36:41.794Z,2025-10-18T11:36:41.794+00:00,1760787422.422,2025-10-18T11:37:02.422Z,2025-10-18T11:37:02.422+00:00,1760787401.000,2025-10-18T11:36:41.000Z,2025-10-18T11:36:41.000+00:00,1760787404.000,2025-10-18T11:36:44.000Z,2025-10-18T11:36:44.000+00:00,6.362,0.154,14.771,3.000,20.628,17.628,ok,
63,v0.15.2,1760787423.752,2025-10-18T11:37:03.751Z,2025-10-18T11:37:03.751+00:00,1760787443.673,2025-10-18T11:37:23.672Z,2025-10-18T11:37:23.672+00:00,1760787423.000,2025-10-18T11:37:03.000Z,2025-10-18T11:37:03.000+00:00,1760787426.000,2025-10-18T11:37:06.000Z,2025-10-18T11:37:06.000+00:00,5.297,0.142,15.121,3.000,19.921,16.921,ok,
64,v0.15.1,1760787445.168,2025-10-18T11:37:25.167Z,2025-10-18T11:37:25.167+00:00,1760787466.635,2025-10-18T11:37:46.635Z,2025-10-18T11:37:46.635+00:00,1760787445.000,2025-10-18T11:37:25.000Z,2025-10-18T11:37:25.000+00:00,1760787448.000,2025-10-18T11:37:28.000Z,2025-10-18T11:37:28.000+00:00,5.193,0.153,16.126,3.000,21.467,18.467,ok,
