iteration,target_revision,start_wall_epoch,start_wall_utc,start_wall_local,end_wall_epoch,end_wall_utc,end_wall_local,deploy_started_epoch,deploy_started_utc,deploy_started_local,deploy_finished_epoch,deploy_finished_utc,deploy_finished_local,repo_sync_s,manifest_apply_s,resource_creation_s,deployment_total_s,rollout_total_s,pod_rollout_s,status,note
39,v0.15.2,1760792209.758,2025-10-18T12:56:49.758Z,2025-10-18T12:56:49.758+00:00,1760792232.493,2025-10-18T12:57:12.492Z,2025-10-18T12:57:12.492+00:00,1760792210.000,2025-10-18T12:56:50.000Z,2025-10-18T12:56:50.000+00:00,1760792213.000,2025-10-18T12:56:53.000Z,2025-10-18T12:56:53.000+00:00,4.923,0.160,17.254,3.000,22.734,19.734,ok,
40,v0.15.1,1760792233.839,2025-10-18T12:57:13.839Z,2025-10-18T12:57:13.839+00:00,1760792255.333,2025-10-18T12:57:35.332Z,2025-10-18T12:57:35.332+00:00,1760792233.000,2025-10-18T12:57:13.000Z,2025-10-18T12:57:13.000+00:00,1760792237.000,2025-10-18T12:57:17.000Z,2025-10-18T12:57:17.000+00:00,6.375,0.144,15.680,4.000,21.493,17.493,ok,
41,v0.15.2,1760792256.684,2025-10-18T12:57:36.683Z,2025-10-18T12:57:36.683+00:00,1760792277.934,2025-10-18T12:57:57.933Z,2025-10-18T12:57:57.933+00:00,1760792256.000,2025-10-18T12:57:36.000Z,2025-10-18T12:57:36.000+00:00,1760792259.000,2025-10-18T12:57:39.000Z,2025-10-18T12:57:39.000+00:00,5.071,0.120,16.630,3.000,21.250,18.250,ok,
42,v0.15.1,1760792279.299,2025-10-18T12:57:59.298Z,2025-10-18T12:57:59.298+00:00,1760792299.233,2025-10-18T12:58:19.232Z,2025-10-18T12:58:19.232+00:00,1760792279.000,2025-10-18T12:57:59.000Z,2025-10-18T12:57:59.000+00:00,1760792282.000,2025-10-18T12:58:02.000Z,2025-10-18T12:58:02.000+00:00,4.578,0.142,15.361,3.000,19.934,16.934,ok,
43,v0.15.2,1760792300.590,2025-10-18T12:58:20.589Z,2025-10-18T12:58:20.589+00:00,1760792375.450,2025-10-18T12:59:35.449Z,2025-10-18T12:59:35.449+00:00,1760792300.000,2025-10-18T12:58:20.000Z,2025-10-18T12:58:20.000+00:00,1760792303.000,2025-10-18T12:58:23.000Z,2025-10-18T12:58:23.000+00:00,4.971,0.096,70.240,3.000,74.860,71.860,ok,
44,v0.15.1,1760792376.725,2025-10-18T12:59:36.724Z,2025-10-18T12:59:36.724+00:00,1760792402.053,2025-10-18T13:00:02.053Z,2025-10-18T13:00:02.053+00:00,1760792376.000,2025-10-18T12:59:36.000Z,2025-10-18T12:59:36.000+00:00,1760792383.000,2025-10-18T12:59:43.000Z,2025-10-18T12:59:43.000+00:00,10.827,0.086,15.033,7.000,25.328,18.328,ok,
45,v0.15.2,1760792403.528,2025-10-18T13:00:03.528Z,2025-10-18T13:00:03.528+00:00,1760792425.647,2025-10-18T13:00:25.646Z,2025-10-18T13:00:25.646+00:00,1760792403.000,2025-10-18T13:00:03.000Z,2025-10-18T13:00:03.000+00:00,1760792408.000,2025-10-18T13:00:08.000Z,2025-10-18T13:00:08.000+00:00,7.263,0.140,15.144,5.000,22.118,17.118,ok,
46,v0.15.1,1760792427.004,2025-10-18T13:00:27.004Z,2025-10-18T13:00:27.004+00:00,1760792447.385,2025-10-18T13:00:47.384Z,2025-10-18T13:00:47.384+00:00,1760792427.000,2025-10-18T13:00:27.000Z,2025-10-18T13:00:27.000+00:00,1760792429.000,2025-10-18T13:00:29.000Z,2025-10-18T13:00:29.000+00:00,4.936,0.153,15.222,2.000,20.380,18.380,ok,
47,v0.15.2,1760792448.657,2025-10-18T13:00:48.656Z,2025-10-18T13:00:48.656+00:00,1760792471.500,2025-10-18T13:01:11.499Z,2025-10-18T13:01:11.499+00:00,1760792448.000,2025-10-18T13:00:48.000Z,2025-10-18T13:00:48.000+00:00,1760792452.000,2025-10-18T13:00:52.000Z,2025-10-18T13:00:52.000+00:00,6.409,0.103,16.839,4.000,22.843,18.843,ok,
48,v0.15.1,1760792472.717,2025-10-18T13:01:12.717Z,2025-10-18T13:01:12.717+00:00,1760792494.309,2025-10-18T13:01:34.308Z,2025-10-18T13:01:34.308+00:00,1760792472.000,2025-10-18T13:01:12.000Z,2025-10-18T13:01:12.000+00:00,1760792475.000,2025-10-18T13:01:15.000Z,2025-10-18T13:01:15.000+00:00,5.397,0.123,16.657,3.000,21.591,18.591,ok,
49,v0.15.2,1760792495.725,2025-10-18T13:01:35.725Z,2025-10-18T13:01:35.725+00:00,1760792517.399,2025-10-18T13:01:57.399Z,2025-10-18T13:01:57.399+00:00,1760792495.000,2025-10-18T13:01:35.000Z,2025-10-18T13:01:35.000+00:00,1760792499.000,2025-10-18T13:01:39.000Z,2025-10-18T13:01:39.000+00:00,6.720,0.147,15.374,4.000,21.674,17.674,ok,
50,v0.15.1,1760792518.754,2025-10-18T13:01:58.754Z,2025-10-18T13:01:58.754+00:00,1760792539.522,2025-10-18T13:02:19.521Z,2025-10-18T13:02:19.521+00:00,1760792518.000,2025-10-18T13:01:58.000Z,2025-10-18T13:01:58.000+00:00,1760792521.000,2025-10-18T13:02:01.000Z,2025-10-18T13:02:01.000+00:00,4.979,0.131,16.311,3.000,20.768,17.768,ok,
51,v0.15.2,1760792540.833,2025-10-18T13:02:20.832Z,2025-10-18T13:02:20.832+00:00,1760792562.319,2025-10-18T13:02:42.318Z,2025-10-18T13:02:42.318+00:00,1760792541.000,2025-10-18T13:02:21.000Z,2025-10-18T13:02:21.000+00:00,1760792544.000,2025-10-18T13:02:24.000Z,2025-10-18T13:02:24.000+00:00,5.577,0.126,15.533,3.000,21.486,18.486,ok,
52,v0.15.1,1760792563.676,2025-10-18T13:02:43.675Z,2025-10-18T13:02:43.675+00:00,1760792585.767,2025-10-18T13:03:05.767Z,2025-10-18T13:03:05.767+00:00,1760792563.000,2025-10-18T13:02:43.000Z,2025-10-18T13:02:43.000+00:00,1760792567.000,2025-10-18T13:02:47.000Z,2025-10-18T13:02:47.000+00:00,6.135,0.108,16.375,4.000,22.091,18.091,ok,
53,v0.15.2,1760792587.156,2025-10-18T13:03:07.155Z,2025-10-18T13:03:07.155+00:00,1760792609.944,2025-10-18T13:03:29.944Z,2025-10-18T13:03:29.944+00:00,1760792587.000,2025-10-18T13:03:07.000Z,2025-10-18T13:03:07.000+00:00,1760792590.000,2025-10-18T13:03:10.000Z,2025-10-18T13:03:10.000+00:00,6.156,0.174,16.500,3.000,22.789,19.789,ok,
54,v0.15.1,1760792611.311,2025-10-18T13:03:31.310Z,2025-10-18T13:03:31.310+00:00,1760792633.635,2025-10-18T13:03:53.635Z,2025-10-18T13:03:53.635+00:00,1760792611.000,2025-10-18T13:03:31.000Z,2025-10-18T13:03:31.000+00:00,1760792614.000,2025-10-18T13:03:34.000Z,2025-10-18T13:03:34.000+00:00,5.412,0.109,16.899,3.000,22.325,19.325,ok,
